,experiment_index,input_dim,embedding_size,optimal_btsp_fq_constant,optimal_btsp_sampling_ratio,optimal_btsp_fq,btsp_mAP,fly_mAP,wta_mAP,lsh_mAP
29,29,784,784,1,0.05,0.025510204081632654,0.609895854743322,0.652144534786264,0.454240239838771,0.384113007627789
30,30,784,15680,5,0.6,0.0006377551020408163,0.3368991133732911,0.31553834338921893,0.10887347601504954,0.11468140438695701
31,31,784,3136,1,0.6,0.0006377551020408163,0.2594669927722121,0.28295639547620044,0.07607446825673018,0.11486122469732585
32,32,784,6272,2,0.6,0.0006377551020408163,0.2829886161674358,0.2875614345997235,0.07348511966812556,0.10778382858357506
33,33,784,9408,1,0.6,0.00021258503401360543,0.30235751652038595,0.28620379654387856,0.09254072188123508,0.11890070120900657
34,34,784,784,1,0.2,0.002551020408163265,0.2336273452268061,0.25312177542483677,0.10147736808580561,0.11559792373952098
35,35,300,6000,5,0.01,0.02,0.15488960059423418,0.19786178923713188,0.14150766496278352,0.17077886386848903
36,36,300,1200,5,0.01,0.1,0.12023202623681933,0.21765666488425872,0.13166238082406895,0.17631054496755713
37,37,300,2400,1,0.01,0.01,0.12419264050885295,0.20886941961153666,0.1250290911457588,0.16799739610343467
38,38,300,3600,10,0.01,0.06666666666666667,0.1423498354515954,0.20243925763354415,0.1290491640375814,0.16602159999207897
39,39,300,300,10,0.01,0.8,0.10503509264984814,0.20682031076198995,0.13171206794928952,0.17864195503877436
40,40,300,6000,1,0.2,0.0006666666666666666,0.03344486385645052,0.12917782047429913,0.07310692494341421,0.0699645245494602
41,41,300,1200,10,0.05,0.03333333333333333,0.06353139009180324,0.1028465541979828,0.06527303301413445,0.06842723157326078
42,42,300,2400,1,0.2,0.0016666666666666668,0.04750960631211885,0.1130855256806547,0.07408110488276282,0.07365769941596081
43,43,300,3600,1,0.2,0.0011111111111111111,0.05559080174318319,0.12256685163750347,0.06856108592387503,0.06509790810970925
44,44,300,300,1,0.05,0.013333333333333334,0.03372308918726996,0.1041178322912388,0.07123483487405444,0.06926959893651953
