,experiment_index,input_dim,embedding_size,btsp_fq,btsp_mAP,fly_mAP,wta_mAP,lsh_mAP
53,53,784,15680,0.00025510204081632655,0.3822796972131792,0.3386021495575219,0.07665528495372977,0.11169990793283407
54,54,784,15680,0.00025510204081632655,0.27242872224844794,0.3874380837576094,0.07565665979312906,0.12287242594582369
55,55,784,15680,0.00025510204081632655,0.27307316839172735,0.3775720823517229,0.06783453586634296,0.12549713398480256
56,56,784,15680,0.00025510204081632655,0.2754891108327781,0.3650630639824328,0.10183072831734177,0.12502731163015265
57,57,784,15680,0.00025510204081632655,0.31154907080648947,0.3889995930676724,0.08688010463819447,0.12585863923916127
58,58,784,15680,0.00025510204081632655,0.3423007433762039,0.383099147974686,0.09192011625607165,0.1153281017664818
59,59,784,15680,0.00025510204081632655,0.37146612667873224,0.39357033978080574,0.0936255898999963,0.11005634463207843
60,60,784,784,0.01020408163265306,0.35930166312330125,0.36386347412324715,0.09560741115262165,0.15395272243755898
61,61,784,784,0.01020408163265306,0.35020393440277936,0.3474266953828823,0.08425920174993541,0.1772359658536139
62,62,784,784,0.01020408163265306,0.34294878736254825,0.36461263741907246,0.14196924599775262,0.17730681849039695
63,63,784,784,0.01020408163265306,0.35931551847994414,0.35192865652888883,0.11872063113023731,0.16615357068341205
64,64,784,784,0.01020408163265306,0.37474009907854244,0.34948927510634303,0.21297889601283188,0.16867964401745544
65,65,784,784,0.01020408163265306,0.3608206101685432,0.386634273289503,0.08232767093120956,0.17577044389152707
66,66,784,784,0.01020408163265306,0.31418217683703803,0.3870456937110586,0.17191623408531823,0.1720120668875631
67,67,784,784,0.01020408163265306,0.31757727043699674,0.4267527830474361,0.12391881710598111,0.17612581210608208
68,68,784,784,0.01020408163265306,0.29380319150364415,0.4249513325560989,0.09769320380682243,0.1800736871039115
69,69,784,784,0.01020408163265306,0.3057468941096416,0.39515155012859543,0.11131775156763225,0.16060344195741438
70,70,784,784,0.01020408163265306,0.31430466057291867,0.4072481764194418,0.13228272740835148,0.16788567161059126
71,71,784,784,0.01020408163265306,0.2841220738752953,0.4031991451235116,0.12205692836470658,0.17547993225720218
72,72,784,3136,0.002551020408163265,0.370979250528766,0.37788690204638303,0.13151845121762995,0.1758397020512996
73,73,784,3136,0.002551020408163265,0.3875089803517993,0.3893710506684953,0.11045110813264467,0.16655217471734135
74,74,784,3136,0.002551020408163265,0.3852080227397739,0.3946776793508206,0.12761638334461956,0.1593814751109224
75,75,784,3136,0.002551020408163265,0.3830533114939439,0.4002021742177703,0.15994366401020862,0.17567896405088423
76,76,784,3136,0.002551020408163265,0.3928434213148669,0.3856819818638545,0.14477918223731745,0.15826029725513371
77,77,784,3136,0.002551020408163265,0.38973795677144984,0.3930643241496493,0.14709464625390223,0.16637064122826978
78,78,784,3136,0.002551020408163265,0.3384156971403157,0.44340774410808387,0.10521909917757125,0.1829360408279324
79,79,784,3136,0.002551020408163265,0.31649834480806666,0.4208228971934418,0.12606964395892328,0.17563604627415164
80,80,784,3136,0.002551020408163265,0.30788144889852775,0.41214202562360475,0.12357967934125805,0.16210558476090253
81,81,784,3136,0.002551020408163265,0.3006153601841006,0.3895960216714149,0.12157473625679824,0.1877963525009279
82,82,784,3136,0.002551020408163265,0.2859732475477978,0.4366170472336526,0.14437976340376946,0.17249801398860756
83,83,784,3136,0.002551020408163265,0.29715600033615575,0.41839376896090036,0.12587581734782005,0.18249268494083037
84,84,784,6272,0.0012755102040816326,0.4058121374617154,0.3973805081913988,0.12903623452232285,0.16789964347082206
